"","date","party","state","text","before_after"
"1",1981-02-06,"R","CT","i rise in tribute to gay.","before"
"2",1982-09-16,"R","CT","of feeling queer or whatever?","before"
"3",1982-09-21,"R","CT","in the eyes of their schoolmates they will be queer or different or irreligious.","before"
"4",1983-07-20,"D","CT","noel gayler. admiral gayler said: the mx works against all of the arms cont rol objectives endorsed by the scowcroft commission. let me quote admiral gayler nigain talking about mx as a path to the midgetman missile. admiiral gayler. admiral gayler. admiral gayler says: i think we cant build a oational consenisus on an idea so faulty as the mx. admiral gayler.","before"
"5",1984-02-29,"R","CT","set out in 1978 to learn more about great grandfather gay and his involvement in the civil war. gay of union. ida gay santos. jonah gay. alphonso gay. rosa king gay. rosa gay.","before"
"6",1984-06-20,"D","CT","noel gayler. admiral gayler predicted to the foreign relations committee: when an mx program. admiral gaylcrs fear is not based on fantasy. this is exactly the fear that admiral gayler expressed in the mxmidgetman context.","before"
"7",1986-04-21,"D","CT","the disease has afflicted most severely the gay community.","before"
"8",1986-09-30,"R","CT","and those of the maine delegayouth.","before"
"9",1987-05-08,"D","CT","the question was whether or not he might be gay and then to call his widow to find out how she felt about it.","before"
"10",1987-10-14,"R","CT","the comic book he refers to that was published by the gay mens health crisis. that is -pittsburgh -about the use of condoms what i look upon as my job on the by 503 homosexual and bisexual men.","before"
"11",1988-06-06,"R","CT","""explicit information on the risks associated with gay sex and the way those risks can be minimized does not promote or encourage homosexual activities."" mr.","before"
"12",1988-07-11,"R","CT","the greater harm is not that which occurs to the homosexual or the lesbian commtmlty. accuse them of being for homosexuality or lesbianism.","before"
"13",1989-03-21,"D","CT","and earned chairman gaydos not only the respect of myself but of my fellow members of the accounts subcommittee as we wrestled with the issue of committee funding. just as chairman annunzio and chairman gaydos deserve our respect and support for their efforts.","before"
"14",1991-03-12,"R","CT","gaydos.","before"
"15",1992-09-18,"D","CT","i want to note the committees efforts in finding funds for the lowincome home energay assistance program [liheap].","before"
"16",1993-02-24,"R","CT","and questions about gays in the military.","before"
"17",1993-03-30,"R","CT","a promise that our president seems intent on keeping is to lift the ban on gays in the military.","before"
"18",1994-07-27,"D","CT","56 acceptance of homosexuals and bisexuals ..................","before"
"19",1996-09-10,"D","CT","that is gay and lesbian americans. this country continues to allow gay and lesbian americans to be judged not by their abilities or even the content of their character but by the prejudice of others. i hope we all want to say to gay americans that when you are on the job in this country.","before"
"20",1997-06-10,"D","CT","it is time to -extend that guarantee to gay men and lesbians. a collection of nearly two dozen studies shows that as many as 46 percent of gay and lesbian workers have experienced significant discrimination in the workplace. the fear in which these workers live was clear from a survey of 1.400 gay men and lesbians in philadelphia. is not surprising in light of a university of maryland study that found gay mens income to be 11 to 27 percent lower than that of heterosexual men. because it would not give gay men and women all of the protections we currently provide to other groups protected under our civil rights laws.","before"
"21",1998-03-10,"D","CT","gays.","before"
"22",1998-07-10,"D","CT","although most of the people he interviewed tempered their disapproval by making clear that they did not support discrimination against gay men and lesbians. yet the suspicions and concerns of the gay community are understandable when one considers the senates treatment of james hormels nomination as ambassador to luxembourg.","before"
"23",1998-08-05,"R","CT","have members ever sat and visited with the parents of a gay and lesbian young person?","before"
"24",1999-04-12,"D","CT","gay city state park in hebron.","before"
"25",1999-05-24,"D","CT","gay. general gay has been a valuable friend to me and all the people of connecticut. general gays contributions to the state go far beyond his command of both the army and air national guard. general gay will continue to work for the people of connecticut as the states year 2000 coordinator. i am happy to extend my thanks to general gay for his years of distinguished service and offer my best wishes in his retirement..","before"
"26",1999-05-27,"D","CT","gay. general gay will retire on june 1st. members of general gays air national guard componentthe 103rd air control squadronwill soon travel from orange. general gay has dedicated his career to serving this country with a willingness to be called upon at any time to defend this nation and our way of life. general gay was appointed adjutant general of the connecticut national guard. general gay has committed himself and his troops to taking positive action to improve the communities of connecticut. most noteworthy are the host of youth programs that began under general gays tenure. under general gays able leadership. general gay serves as president of the nutmeg state games which feature connecticuts finest young amateur athletes. general gays commitment to the community has been recognized by several awards and accolades.","before"
