"","date","party","state","text"
"1",1982-09-17,"D","AL","gay."
"2",1982-10-01,"R","AL","and i hope nobody puts me in the san francisco gay chorus for saying this."
"3",1983-07-13,"D","AL","gaylon amerson."
"4",1984-06-06,"R","AL","in gay rights against bonner a federal court upheld the right of a gay rights student group to meet at the high schoci level. if the gay rights club can meet."
"5",1984-06-27,"R","AL","about whether or not a gay rights group can come in and do so and so. in gay rights against bonner. a federal court upheld the right of a gay rights student group to meet at the high school level."
"6",1985-01-29,"R","AL","gay rights."
"7",1989-03-21,"D","AL","the funding resolution which chairman gaydos brings to the floor today represents a truly bipartisan approach to a task which might have degenerated into partisan bickering. the unanimous support of all the ranking minority members is truly a tribute to the bipartisan approach adopted by chairman gaydos. is the difficult task which was so ably met by chairman gaydos and the accounts subcommittee."
"8",1991-03-13,"D","AL","numerous grand ball celebrations continued the gayety of dance: the grande fete damour at versailles."
"9",1991-06-21,"D","AL","the select committee has received a request for a determination under rule 35 for gaye bennett."
"10",1992-06-29,"D","AL","and gayle."
"11",1992-06-30,"D","AL","it would serve us well to think of and focus on the miraculous technological advances and discoveriesmany of which have benefited the human race immeasurablythat would never have been possible had the naygayers got their way."
"12",1992-07-30,"D","AL","jermane kornegay."
"13",1992-10-01,"D","AL","gaydos."
"14",1993-02-03,"R","AL","we cannot bow to the demands of gay rights groups and allow them to use the military to promote their agenda. the presidents promise to gay rights groups."
"15",1993-10-14,"R","AL","wrote the membership about the nea and said that the nea did not grant money for a film which was to portray two 12year old young girls engaged in lesbian activity. and serranos ""piss christ."" also the gentleman from montana says we did not fund the 1990 pittsburgh gay and lesbian film festival."
"16",1996-06-20,"D","AL","groups such as gay construction of decatur."
"17",2001-03-07,"D","AL","against gays."
"18",2001-06-14,"R","AL","but there is a group of americans who believe very stronglyand i dont disparage their motivesthat the boy scouts position on gay scoutmasters is not appropriate."
"19",2002-09-10,"R","AL","some gay: what new evidence do you have to go forward?"
"20",2003-07-31,"R","AL","lesbians and gays and other minorities."
"21",2003-11-06,"R","AL","lesbians and gays and other minorities."
"22",2003-11-12,"R","AL","on the internet site 365gay.com: new yorks other senator."
"23",2003-11-18,"R","AL","winchell had been perceived as gay by private glover. i should note that there was evidence that a platoon sergeant had made insensitive comments about gays. the allegations were that major general clark had allowed ""significant levels of antigay harassment under [his] command."" and that it allowed a command climate in which ""antigay harassment flourished"". there were allegations that there was antigay graffiti in the public areas around fort campbell. the army inspector general found one latrine at a unit level and one in a public recreation center at fort campbell which had antigay comments on them."
"24",2005-04-20,"R","AL","paul and his wife gayle have five sons."
"25",2005-06-09,"R","AL","lesbians and gays and other minorities."
"26",2006-06-06,"R","AL","it is not that we wanted to enter into some sort of argument with the gay community or with those who favor samesex marriage."
"27",2007-05-03,"D","AL","i say that as the only democrat on the committee who voted against gay marriage."
"28",2009-09-29,"R","AL","or gay."
"29",2010-04-20,"R","AL","i know there is a legal dispute about gay marriage."
"30",2010-05-24,"R","AL","dont tell policy about gays in the military. in a serious way: what were you thinking when you punished our men and women in uniform because you did not like what congress and your presidentpresident clintondid with regard to their policies on gays in the military?"
"31",2010-08-04,"R","AL","animus towards gays and lesbians or simply a belief that a relationship between a man and a woman is inherently better than a relationship between two men or two women."
"32",2010-09-22,"R","AL","this is the policy on gays in the military."
"33",2012-11-15,"R","AL","gayle."
"34",2015-05-20,"R","AL","lgbt."
"35",2015-12-14,"R","AL","gayle."
"36",2016-05-17,"R","AL","he said that there is something in this bill that might have something to do with lgbt discrimination."
"37",2016-05-18,"R","AL","there is not one single mention of lgbt."
"38",2016-05-24,"R","AL","the opponents of the russell amendment say it provides for discrimination against the lgbt community. a simple review of the amendment and the underlying statutes demonstrates an absence of any reference to lgbt persons. will include those in the lgbt community."
"39",2016-06-15,"R","AL","or we are lgbt. the lgbt community was bleeding."
"40",1982-12-18,"R","AK","i have to gay we are caught sort of unawares."
"41",1986-06-25,"R","AK","george island by the russian fur trader gayrill loginovich pribylov."
"42",1987-07-28,"R","AK","a bill to settle the gay head band of wampanoag indian land claims."
"43",1987-11-17,"R","AK","donald sweeney mack swindall madigan tauzin marlenee taylor martin (il) thomas (ca) martin (ny) traficant mccandless upton mccollum vander jagt mcewen vucanovich mcmillan (nc) walker michel watkins miller (oh) whittaker molinari wilson montgomery wolf morrison (wa) wylie murphy young (ak) murtha young (fl) noes266 crockett harris darden hawkins davis (mi) hayes (il) de la garza hefner defazlo henry dellums hertel dicks hochbrueckner dingell horton dixon howard donnelly hoyer dorgan (nd) hubbard downey hughes durbin hutto dwyer ireland dymally jacobs dyson jeffords early jenkins eckart johnson (sd) edwards (ca) jones (nc) erdreich jones (tn) espy jontz evans kanjorski fascell kaptur fawell kastenmeier fazlo kennedy feighan kennelly fish kildee flippo kleczka florio kolbe foglietta konnyu foley kostmayer ford (mi) lafalce frank lancaster frenzel lantos frost leach (ia) garcia lehman (ca) gaydos lehman (fl) gejdenson leland gilman lent glickman levin (mi) gonzalez levine (ca) gordon lewis (ga) grant lipinski green lowry (wa) gregg luken."
"44",1991-05-09,"R","AK","includlng john plngayak of chevak."
"45",1993-01-28,"R","AK","and that is the debate taking place on the issue of gays in our armed services. and i think it is important to recognize that the issue before our nation is not the narrow issue of gays rights but rather the reality that service in the military is not a right but a privilege. in terms of lifting the ban on gays on active duty. but there is no consensus on the issue of gays in the military. would an influx of gays into the militaryand later into the ranks of the nations veterans population--affect aids ratios in the military and thus future va health care costs? would the va become mired in controversy and litigation to determine if gay soldiers partners are dependents or survivors for purposes of va benefit programs? responses are running 10 to i against gays being condoned in the military and that does not even take into account the mall."
"46",1993-02-04,"R","AK","a decision to admit gays to the military will not be a free one. if gay men represent 10 percent to 15 percent of the male population and have 60 percent of the new cases reported. it is clear that the gay population still brings an increased risk of aids to the table. if gays are openly admitted to the uniformed services. the percentage of cases due to gay sex will likely increase over time from the 48 percent currently found in the veteran population to the 60 percent found in the general adult male population. and that if gays are allowed to serve openly in our armed forces the impact will increase. and americas veterans should have hard data on this question before a decision on admitting gays to the military is made. would the va become mired in controversy and litigation to determine if gay soldiers partners are dependents or survivors for purposes of va benefit programs?"
"47",1995-01-09,"R","AK","i am sorry to gay to the senator from georgia."
"48",1996-05-23,"R","AK","other names on the letterhead include such hollywood luminaries as rock star don henley and tv producers gayle hurd and gary goldberg."
"49",1997-05-14,"R","AK","senator gaylord nelson."
"50",2002-04-10,"R","AK","gaylord nelson."
"51",2006-03-28,"R","AK","then this director can gay you cannot present the complaint."
"52",2008-07-17,"R","AK","and married lisa gayle tatsumi. all of which he named the ""lisa gayle"" after his wife."
"53",2010-04-12,"D","AK","he and his wife gayle had a long reputation of intense physical training and extreme outdoor adventure. and the help of his wife gayle."
"54",2012-04-25,"D","AK","lesbian and gay people."
"55",2013-11-06,"R","AK","but we now need to do the same for those in the lgbt community. but our communities across the state host a very significant lgbt community. because the contributions that come to our community because of those within the lgbt community make us. part of that diversity comes to us through the lgbt community. the national lgbt chamber of commerce hosted their president in anchorage for their weekly chamber presentation. we dont want to be welcoming of our lgbt community. they told that they were discriminated against because they were too gay. and we ensure those same protections for those within the lgbt community."
"56",2014-03-27,"D","AK","since her arrival in alaska phyllis contributions to the cause of equality for the lgbtq community. within the lgbtq community."
"57",2015-01-22,"R","AK","he was ordained a priest for the catholic diocese of gaylord."
"58",1982-08-04,"R","AZ","i remember making a speech on the floor of the senate one day gaying the country would be bankrupt."
"59",1983-02-24,"R","AZ","gayner. gayner. gayner finds that present chinese military developments threaten obsolescence for taiwans current inventory of u.s."
"60",1986-10-07,"D","AZ","2868 is a bill which provides for the settlement of the claims of the wampanoag indians within the town of gay head. the wampanoag indians of gay head filed a lawsuit against the town of gay head. their lands were given away by the commonwealth of massachusetts to the town of gay head in violation of the 1790 trade and intercourse act. and the nonindian landowners of gay head reached a settlement to the lawsuit. the indians would relinquish their claim to gay head. would receive about 240 acres of lands currently held by the town of gay head and about 185 acres of land currently held by private parties. the committee adopted an amendment which provides that the provision of the bill will only become effective if and when the secretary of the interior decides to grant federal recognition to the gay head wampanoag indians as an indian tribe. the gay head indians have filed a petition for federal recognition as an indian tribe with the department of the interior and a final secretarial decision is due by the end of the year. if the gay head indians get federally recognized as an indian tribe by the secretary of the interior before this legislation is passed. the other substantive amendment provides that the provisions of this bill will only become effective if and when the secretary of the interior decides to grant federal recognition to the wampanoag indian tribe of gay head. this amendment addresses the concern of the administration that a settlement should not be enacted unless the gay head indians can prove that they are indeed an indian tribe. the provisions of the bill will not come in effect until the secretary of the interior determines that there is a wampanoag indian tribe of gay head."
"61",1986-10-07,"R","AZ","the gay head band of wampanoag indians land settlement. onethe department of the interior has half of that cost ought reasonably to made a preliminary finding that the be borne by the state of massachugroup calling itself the gay head setts. not the gay head tribe of 100 or 200 the state legislature has just enacted years ago. who is to say that contingency clause in this bill which the entire town of gay head. district court against i also believe that we ought to give the town of gay head."
"62",1987-08-05,"R","AZ","bisexual. most of these mothers are intravenous drug abusers or who have sexual partners that are themselves drug abusers or bisexuals."
"63",1988-04-28,"R","AZ","homosexual and bisexual males still account for about 66 percent of the adult aids cases in the united states. homosexual/bisexual activity has played an important part in recent syphilis outbreaks among indians in the southwest."
